Respondent ID,Collector ID,Start Date,End Date,Custom Data 1,Custom Data 2,Custom Data 3,Topic,How confident are you in recalling facts about genetics?,How confident are you in understanding the core concepts in genetics?,How confident are you in understanding how genes relate to proteins?,How confident are you in understanding how genetic sequence errors relate to diseases?,How confident are you that you could understand genetics?,How important to you is it that you understand genetics?,How important do you think that an understanding of genetics will be for your career?,How much does genetics relate to other modules on your course?,"Do you prefer lectures that review the same material that is in the textbooks (A), or lectures that provide the ‘bigger picture’ and go beyond the set reading (B)?","How likely would you be to complete online multiple choice tests during the module to check your factual knowledge and understanding, even though it would not count towards your mark?","How much would you like to work in a group of three or four students to research and solve a practical problem during the module, even if it would not count towards your mark?","How much do you think the assessment should test your  factual knowledge, and how much should it test understanding and analysis?",How confident are you in reading material that contains novel technical terms or unfamiliar jargon?,How confident are you in understanding the recommended reading?,"How confident are you with everyday mental arithmetic, such as multiplication and division?",How confident are you with the sort of numerical calculations you need to do in your modules?,How confident are you in understanding the statistical tests reported in research papers?,How much of the recommended reading would you normally do each week?,How long would you expect to spend in reading a research paper for a discussion group or for the next lecture?,"How long would you expect to spend in reading a research paper to grasp the gist of its rationale, method, and discussion?","How long would you expect to spend in reading a research paper to fully understand its rationale, method, analysis and discussion?",COUNT
6424389529,162227883,01/10/2017 19:35,01/10/2017 19:40,4323,2,10549789,0,50,50,50,45,65,59,53,50,3,58,50,0,33,63,77,79,72,3,2,4,4,21
6424382444,162227883,01/10/2017 19:17,01/10/2017 19:31,3628,4,10519608,0,28,71,65,84,37,79,66,100,100,100,0,28,35,62,100,100,92,2,4,2,4,21
6424382003,162227883,01/10/2017 19:25,01/10/2017 19:29,4281,3,10475002,0,68,68,68,73,76,92,100,85,100,100,75,63,80,84,79,73,73,5,4,2,6,21
6424363467,162227883,01/10/2017 19:00,01/10/2017 19:02,4797,1,10442178,0,74,75,74,76,76,100,100,100,68,0,0,74,65,76,100,100,77,5,4,2,5,21
6424344518,162227883,01/10/2017 18:32,01/10/2017 18:35,3628,4,10485666,0,31,72,100,100,65,100,100,97,95,97,0,100,32,39,20,78,0,2,3,1,3,21
6424338606,162227883,01/10/2017 18:22,01/10/2017 18:27,3628,4,10327721,0,25,50,38,15,45,70,57,60,60,58,77,66,58,63,80,70,59,2,3,2,3,21
6424336160,162227883,01/10/2017 18:20,01/10/2017 18:23,1391,2,10600001,0,61,71,100,81,83,84,71,79,27,100,39,31,74,51,70,33,35,3,3,3,4,21
6424335366,162227883,01/10/2017 18:11,01/10/2017 18:25,4797,1,10461840,0,50,97,50,86,50,83,79,92,96,100,77,91,59,66,100,86,69,5,4,3,4,21
6424321558,162227883,01/10/2017 17:57,01/10/2017 18:00,3628,2,10542610,0,61,70,99,75,63,54,100,98,100,79,65,51,63,70,100,82,73,4,2,2,4,21
6424318810,162227883,01/10/2017 17:53,01/10/2017 17:58,4797,1,10490704,0,45,76,70,48,76,63,52,94,69,50,35,35,50,81,94,96,69,5,4,3,5,21
6424318638,162227883,01/10/2017 17:51,01/10/2017 18:00,4797,1,10511572,0,53,59,59,60,61,70,87,87,16,76,100,79,19,30,27,20,22,3,4,4,4,21
6424318510,162227883,01/10/2017 17:52,01/10/2017 17:56,4797,1,10476116,0,37,59,87,70,57,99,77,79,61,62,0,57,57,65,100,79,73,5,3,3,4,21
6423496383,162227883,30/09/2017 16:05,30/09/2017 16:10,3628,1,10335768,0,51,50,54,60,60,100,75,100,100,99,100,100,100,100,84,84,73,5,6,6,6,21
6415764335,162227883,21/09/2017 22:54,26/09/2017 21:17,3628,4,10467094,0,78,78,68,90,86,99,95,68,63,83,52,62,56,58,69,84,74,4,4,3,3,21
6415524340,162227883,26/09/2017 18:44,26/09/2017 19:38,4797,1,10592722,0,60,59,69,77,57,72,92,60,63,64,77,54,59,65,65,71,62,5,5,4,5,21
6415221436,162227883,26/09/2017 17:28,26/09/2017 17:41,4797,1,10313977,0,53,75,63,63,76,99,100,96,90,100,50,57,73,73,46,46,46,4,4,4,5,21
6411892920,162227883,25/09/2017 09:26,25/09/2017 09:28,3628,4,10477248,0,15,15,63,25,25,69,0,47,100,100,0,76,32,41,100,100,100,3,4,5,6,21
6411237838,162227883,24/09/2017 23:35,24/09/2017 23:38,4281,2,10566789,0,39,94,78,86,68,68,69,69,76,100,21,85,73,79,70,87,42,3,3,3,4,21
6411189860,162227883,24/09/2017 22:20,24/09/2017 22:23,3628,1,10508850,0,72,78,26,24,39,100,100,74,0,100,0,22,0,0,0,32,0,2,2,3,3,21
6411086644,162227883,24/09/2017 19:43,24/09/2017 19:48,1391,1,10578660,0,51,78,100,85,62,77,85,73,100,100,99,50,62,59,100,100,50,4,3,4,5,21
6409902131,162227883,23/09/2017 10:58,23/09/2017 11:02,3628,2,10553354,0,50,68,39,80,58,100,64,68,0,100,38,50,68,60,81,59,44,2,2,2,3,21
6409106830,162227883,22/09/2017 19:13,22/09/2017 19:19,4323,2,10564946,0,6,4,70,78,30,68,56,57,28,100,100,60,40,34,88,90,86,4,3,3,3,21
6409025526,162227883,22/09/2017 18:32,22/09/2017 18:37,3628,2,10544641,0,60,82,77,68,71,100,85,81,87,100,76,53,75,88,96,81,55,4,4,1,3,21
6408896994,162227883,22/09/2017 17:31,22/09/2017 17:33,1391,4,10438395,0,57,43,28,47,43,60,66,65,89,74,38,59,57,79,76,60,44,2,2,2,3,21
6408768666,162227883,22/09/2017 16:31,22/09/2017 16:34,3628,4,10522221,0,26,46,66,66,35,61,30,60,64,100,100,82,60,59,87,66,58,3,3,4,5,21
6408685672,162227883,22/09/2017 15:55,22/09/2017 15:58,3628,4,10540244,0,31,54,50,62,50,50,88,52,50,56,58,50,45,41,76,34,43,2,2,2,3,21
6408472191,162227883,22/09/2017 14:28,22/09/2017 14:31,3628,4,10509229,0,38,51,64,83,53,43,12,55,0,95,27,58,79,100,98,99,93,3,4,4,4,21
6408443728,162227883,22/09/2017 14:17,22/09/2017 15:07,3628,4,10484476,0,85,90,96,95,100,98,85,74,91,80,21,99,66,78,99,100,99,2,4,2,4,21
6408393183,162227883,22/09/2017 13:56,22/09/2017 14:00,4281,3,10521601,0,0,50,100,84,23,86,100,79,67,100,21,82,64,51,30,26,0,1,2,2,2,21
6407290740,162227883,21/09/2017 23:02,21/09/2017 23:06,3628,2,10568005,0,47,37,44,21,34,99,100,100,100,100,100,100,35,58,39,41,18,4,4,5,5,21
6407085883,162227883,21/09/2017 20:54,21/09/2017 21:05,4797,1,10476078,0,0,50,100,100,66,100,100,81,98,100,100,75,40,20,0,0,0,5,4,2,5,21
6406805023,162227883,21/09/2017 18:47,21/09/2017 18:49,3628,1,10571118,0,76,75,80,77,83,99,99,75,57,58,60,60,52,98,97,97,57,5,6,6,6,21
6406546207,162227883,21/09/2017 16:55,21/09/2017 16:58,3628,2,10545132,0,43,32,65,65,47,70,98,75,6,100,26,70,34,40,72,67,66,3,2,1,2,21
6406477041,162227883,21/09/2017 16:26,21/09/2017 16:30,4281,3,10523643,0,15,17,53,40,40,66,77,74,35,83,22,68,61,63,34,36,31,3,3,1,3,21
6406405956,162227883,21/09/2017 15:57,21/09/2017 16:01,4797,1,10482685,0,72,86,94,66,80,93,99,87,81,100,61,68,83,88,93,94,81,4,3,1,4,21
6406389539,162227883,21/09/2017 15:51,21/09/2017 15:54,3628,2,10508833,0,57,68,74,76,73,92,95,82,71,84,88,93,73,68,62,82,89,4,2,2,3,21
6406356590,162227883,21/09/2017 15:38,21/09/2017 15:41,1391,4,10524785,0,29,24,62,49,28,44,33,29,57,34,38,38,35,34,55,45,25,1,1,1,1,21
6406333773,162227883,21/09/2017 15:29,21/09/2017 15:31,3628,4,10483433,0,24,65,91,82,66,75,94,64,100,61,34,72,53,66,100,82,44,2,2,1,2,21
6406166336,162227883,21/09/2017 14:24,21/09/2017 14:28,3628,1,10571834,0,39,39,67,67,76,100,50,51,21,100,100,50,78,32,100,74,56,5,3,1,5,21
6406136874,162227883,21/09/2017 14:13,21/09/2017 14:16,4323,2,10477749,0,13,59,59,82,50,75,42,26,100,86,87,41,37,63,100,100,100,4,1,1,3,21
6406017823,162227883,21/09/2017 13:23,21/09/2017 13:26,1391,4,10510928,0,62,83,93,93,88,94,93,92,94,94,2,77,50,64,83,70,37,5,3,3,4,21
6406017641,162227883,21/09/2017 13:22,21/09/2017 13:30,1391,2,10483262,0,23,39,64,73,54,76,52,60,26,83,14,26,60,40,29,44,61,2,4,3,4,21
6405996489,162227883,21/09/2017 13:13,21/09/2017 13:16,4673,4,10529110,0,29,33,50,28,50,50,40,35,50,50,68,50,50,66,43,41,38,3,4,4,5,21
6405847491,162227883,21/09/2017 11:57,21/09/2017 12:02,4323,2,10556900,0,23,31,49,30,35,34,31,34,68,50,50,37,44,38,50,50,61,3,1,2,3,21
6405807437,162227883,21/09/2017 11:31,21/09/2017 11:34,3628,2,10183628,0,23,35,40,41,62,100,71,80,100,100,100,65,62,65,99,100,62,4,4,4,5,21
6405783043,162227883,21/09/2017 11:13,21/09/2017 11:18,3628,4,10513103,0,29,67,67,67,66,52,70,86,75,99,0,50,57,57,99,76,57,2,3,3,4,21
6405763876,162227883,21/09/2017 11:00,21/09/2017 11:04,1391,2,10565276,0,72,72,23,72,51,97,97,76,51,98,60,50,73,72,72,50,50,3,3,1,3,21
6405740318,162227883,21/09/2017 10:42,21/09/2017 10:51,4281,3,10087024,0,83,96,85,82,97,92,85,50,95,96,50,49,73,95,48,34,78,3,4,3,4,21
6405736093,162227883,21/09/2017 10:38,21/09/2017 10:43,1391,4,10540160,0,74,70,83,85,81,76,65,100,82,100,0,39,75,73,80,67,75,3,2,1,2,21
6405721559,162227883,21/09/2017 10:23,21/09/2017 10:33,4797,1,10389398,0,0,26,28,28,50,76,76,100,100,100,79,77,26,50,100,50,34,5,5,3,4,21
6405715435,162227883,21/09/2017 10:22,21/09/2017 10:28,1391,4,10527986,0,58,74,90,90,83,100,100,88,100,76,44,24,58,55,76,46,45,4,3,3,4,21
6405701193,162227883,21/09/2017 10:11,21/09/2017 10:17,3628,4,10520761,0,0,0,31,48,0,32,73,73,0,100,0,72,65,65,100,100,78,2,3,3,4,21
6405695035,162227883,21/09/2017 10:06,21/09/2017 10:08,4281,2,10548954,0,0,0,35,2,7,100,94,60,100,100,100,65,0,8,0,0,0,3,4,3,3,21
6405684616,162227883,21/09/2017 09:58,21/09/2017 10:00,3628,4,10511284,0,1,59,24,57,60,79,78,57,18,77,63,85,67,26,45,42,54,3,2,4,6,21
6405676513,162227883,21/09/2017 09:51,21/09/2017 09:59,3628,1,10600240,0,58,73,72,71,70,66,67,67,58,100,73,64,38,55,80,75,84,5,5,4,6,21
6405673290,162227883,21/09/2017 09:48,30/09/2017 16:41,1391,1,10575432,0,19,36,28,73,66,100,33,65,77,100,78,37,58,59,46,45,56,3,2,2,3,21
